Lake,Year,Air Temperature,Evaporation,Precipitation,Area,Barren Area,Snow and Ice,Urban Area,Vegetation Area
311,2004,299.0743424,-0.084449507,0.979901806,345783656.1,40817958.26,0,3433146.98,1851594529
311,2005,298.4769309,-0.086768762,0.923333488,209756608.4,36290200.65,0,3433146.98,1824640269
311,2006,299.1743309,-0.075847861,1.30171999,358293954.5,42857072.65,0,3433146.98,1821018530
311,2007,298.9014881,-0.075474618,0.774521765,430126367.6,14328112.59,0,3433146.98,1714047258
311,2008,298.3395424,-0.0956845,0.776713098,242176274.7,32703343.63,0,3433146.98,1767743576
311,2009,299.3937568,-0.094054346,0.705912379,184456397.7,43543300.04,0,3433146.98,1789076999
311,2010,299.6093346,-0.081775447,0.936760849,178930268.3,55320186.18,0,3433146.98,1800402391
311,2011,298.7523134,-0.058811788,1.139559488,463016828.9,45127067.71,0,3433146.98,1810369828
311,2012,298.2690001,-0.066602023,0.872108864,343402260.4,15461550.42,0,3433146.98,1781594190
311,2013,297.895171,-0.086900114,1.391986269,457769137.7,11161589.99,0,3433146.98,1671216671
311,2014,298.4305998,-0.081562391,0.888407876,503478231.3,27471137.18,0,3433146.98,1598917554
311,2015,298.8358615,-0.102971822,0.803680327,378875340.5,33140191.29,0,3433146.98,1617510579
311,2016,299.2003608,-0.077785611,1.378285009,401392053.2,31775929.78,0,3433146.98,1610941404
311,2017,298.7268983,-0.093268683,0.819441789,483518922.9,31096823.59,0,3433146.98,1592805491
311,2018,298.9398649,-0.063622642,1.107452183,316689887.8,50814963.65,0,3433146.98,1671245814
311,2019,298.2750073,-0.0923022,1.731758706,167477887.1,24524975.31,0,3433146.98,1714315196
311,2020,298.3098641,-0.100344933,1.025882843,468752046.9,13653919.43,0,3433146.98,1614103785
311,2021,298.0644105,-0.117379398,1.201756179,431072107.2,13879420.29,0,3433146.98,1601410969
327,2001,299.6229752,-0.112035543,1.770426613,412287183.7,23711690.45,0,23911512.61,1310286934
327,2002,300.2177762,-0.099085901,1.171090952,479719805.7,12558025.61,0,23911512.61,1388717085
327,2003,299.6779801,-0.106188416,1.738787218,481925739.7,14430270.03,0,23911512.61,1390081738
327,2004,299.5287875,-0.129486638,1.414443339,555731113.2,15124888.63,0,23911512.61,1376902435
327,2005,300.0517923,-0.110718617,1.388652784,498769859.3,21076172.72,0,24373578.56,1360547368
327,2006,300.0572263,-0.121360816,1.627035527,490583681.3,19341688.68,0,25528831.8,1346907342
327,2007,299.948416,-0.103068869,1.708196313,539616689,21422890.79,0,26221983.69,1337659866
327,2008,299.7090004,-0.097468975,1.803491056,527134783.1,26548064.6,0,26723073.52,1331457248
327,2009,300.9970983,-0.089100969,1.446585188,507278958.8,29786086.72,0,27577432.24,1332683002
327,2010,300.6082691,-0.110784825,1.153480549,498316717.9,29554354.61,0,28318448.94,1323386907
327,2011,299.5900861,-0.099847788,1.806795467,519574718.6,28630464.35,0,28780894.31,1305122430
327,2012,299.7831071,-0.112274866,1.900294802,498783403,27588018.47,0,28780894.31,1307895784
327,2013,299.4047456,-0.105848752,1.759812371,481048551.4,23887883.86,0,28780894.31,1304195496
327,2014,299.9210314,-0.105854411,1.433596768,514309970.5,19955466.93,0,28780894.31,1306509233
327,2015,300.0617603,-0.133150569,1.409199698,518703984,17623954.53,0,28780894.31,1308839862
327,2016,300.1638087,-0.099674009,1.331316044,481101175.8,19473930.23,0,28780894.31,1306760444
327,2017,300.4046731,-0.104974823,1.580275241,549583252.7,17854648.22,0,28780894.31,1300056663
327,2018,299.99168,-0.106950394,1.689792915,535054153.7,13691618.83,0,28780894.31,1293123468
327,2019,299.8220644,-0.127352477,1.615701105,485934790.2,11903158.87,0,28780894.31,1298377623
327,2020,299.0982151,-0.149641434,1.760383818,559581480.6,9178215.963,0,28910481,1279474586
327,2021,299.4930406,-0.123678622,1.41095736,515414972.7,6167386.421,0,29080777.31,1286472752
364,2001,300.4277714,-0.065431968,0.827787346,45125052.73,14334093.36,0,36775345.03,2780390129
364,2002,300.5725897,-0.067412816,0.729123234,56659821.13,10034070.33,0,37368137.71,2867491366
364,2003,300.8648422,-0.056993314,0.581888801,44049003.59,8123224.047,0,37368137.71,2889232619
364,2004,299.9413122,-0.076952063,0.617802164,59083316.78,1910955,0,37607263.21,2896161508
364,2005,300.3421538,-0.068847478,0.984026108,193125296.8,3821610.531,0,37607263.21,2878478089
364,2006,300.3054622,-0.078462748,0.772002125,308587379.4,3343945.359,0,37607263.21,2826626921
364,2007,300.1202128,-0.063161916,1.130592768,198065230,4538555.078,0,37607263.21,2799384900
364,2008,300.1757019,-0.083172804,0.742157312,372964229.4,5733232.344,0,37607263.21,2742032434
364,2009,300.8022182,-0.073297226,0.795298754,201577676.4,7404982.906,0,37607263.21,2733670328
364,2010,300.3010374,-0.063973554,1.163890708,56930511.55,6210693.25,0,37607263.21,2722201573
364,2011,300.1946941,-0.070411869,0.62751146,297376555.7,5971802.969,0,37846435.37,2723396712
364,2012,300.5051779,-0.070113535,0.761000599,176212344.2,4299822.563,0,37846435.37,2791021035
364,2013,299.9085942,-0.06252764,0.923786743,152343728.5,3344423.75,0,37846435.37,2786959106
364,2014,300.2510284,-0.079988913,0.716802661,174475983.9,2150165.953,0,37846435.37,2780986785
364,2015,300.604958,-0.085209243,0.652632719,126380708.7,1672427.703,0,38085602.33,2855064228
364,2016,300.7798195,-0.061736853,0.721581094,110865100.2,1672196.594,0,38085602.33,2861276871
364,2017,301.0105829,-0.055306672,0.848809145,194223751.5,1910886.906,0,38085602.33,2868923354
364,2018,300.6211852,-0.067423749,0.685539683,163767445.6,955504.0469,0,38866938.39,2867424784
364,2019,300.6554536,-0.059756487,0.852459745,77744164.63,716513.5313,0,38866938.39,2867663391
364,2020,300.2266206,-0.063819902,1.23489586,157183120.9,477707.2813,0,38866938.39,2858583613
364,2021,299.8168903,-0.067258735,0.878164731,309530569.5,238806.25,0,38866938.39,2825128568
